ChEMBL ID;Name;Synonyms;Type;Max Phase;Molecular Weight;Targets;Bioactivities;AlogP;Polar Surface Area;HBA;HBD;#RO5 Violations;#Rotatable Bonds;Passes Ro3;QED Weighted;CX Acidic pKa;CX Basic pKa;CX LogP;CX LogD;Aromatic Rings;Structure Type;Inorganic Flag;Heavy Atoms;HBA (Lipinski);HBD (Lipinski);#RO5 Violations (Lipinski);Molecular Weight (Monoisotopic);Np Likeness Score;Molecular Species;Molecular Formula;Smiles;Inchi Key;Inchi;Withdrawn Flag;Orphan;Records Key;Records Name;
CHEMBL5273928;;;;;227.27;1;1;1.79;68.01;3;2;0;4;N;0.84;None;5.03;1.40;1.40;2;MOL;-1;17;4;3;0;227.1059;-1.47;NEUTRAL;C13H13N3O;NC(=O)c1ccc(NCc2ccccc2)nc1;JLARFNBDECTDMW-UHFFFAOYSA-N;InChI=1S/C13H13N3O/c14-13(17)11-6-7-12(16-9-11)15-8-10-4-2-1-3-5-10/h1-7,9H,8H2,(H2,14,17)(H,15,16);FALSE;-1;['12'];['6-(benzylamino)nicotinamide'];
CHEMBL5287055;;;;;320.40;4;5;2.52;86.93;4;2;0;5;N;0.76;None;9.31;1.77;-0.11;3;MOL;-1;24;5;4;0;320.1637;-0.94;BASE;C19H20N4O;NCc1ccc(Cn2c(C3CC3)cc3cc(C(N)=O)cnc32)cc1;KOGLRFYGFVSIJO-UHFFFAOYSA-N;InChI=1S/C19H20N4O/c20-9-12-1-3-13(4-2-12)11-23-17(14-5-6-14)8-15-7-16(18(21)24)10-22-19(15)23/h1-4,7-8,10,14H,5-6,9,11,20H2,(H2,21,24);FALSE;-1;['33'];['1-(4-(aminomethyl)benzyl)-2-cyclopropyl-1H-pyrrolo[2,3-b]pyridine-5-carboxamide'];
CHEMBL5275681;;;;;298.39;17;18;2.03;94.03;4;3;0;6;N;0.76;None;9.30;1.56;-0.33;2;MOL;-1;22;5;5;0;298.1794;-1.32;BASE;C17H22N4O;CC(C)(CNc1ccc(C(N)=O)cn1)c1cccc(CN)c1;HCKZSLBARGVRKK-UHFFFAOYSA-N;InChI=1S/C17H22N4O/c1-17(2,14-5-3-4-12(8-14)9-18)11-21-15-7-6-13(10-20-15)16(19)22/h3-8,10H,9,11,18H2,1-2H3,(H2,19,22)(H,20,21);FALSE;-1;['23'];['6-((2-(3-(aminomethyl)phenyl)-2-methylpropyl)amino)nicotinamide'];
CHEMBL5288117;;;;;339.44;4;5;1.95;92.07;5;4;0;7;N;0.62;None;9.19;1.43;-0.36;2;MOL;-1;25;6;5;0;339.2059;-1.30;BASE;C19H25N5O;CC(C)(CNc1ccc(C(N)=O)cn1)c1cccc(NC2CNC2)c1;FIMPWUACHDEOHT-UHFFFAOYSA-N;InChI=1S/C19H25N5O/c1-19(2,12-23-17-7-6-13(9-22-17)18(20)25)14-4-3-5-15(8-14)24-16-10-21-11-16/h3-9,16,21,24H,10-12H2,1-2H3,(H2,20,25)(H,22,23);FALSE;-1;['25'];['6-((2-(3-(azetidin-3-ylamino)phenyl)-2-methylpropyl)amino)nicotinamide'];
CHEMBL5266230;;;;;273.30;1;1;-0.78;102.04;5;3;0;4;N;0.68;13.73;9.12;-1.29;-3.00;2;MOL;-1;20;7;4;0;273.1226;-1.58;BASE;C13H15N5O2;NC(=O)c1cnc2c(ccn2CC(=O)NC2CNC2)c1;HIQQRAGCMNPWEQ-UHFFFAOYSA-N;InChI=1S/C13H15N5O2/c14-12(20)9-3-8-1-2-18(13(8)16-4-9)7-11(19)17-10-5-15-6-10/h1-4,10,15H,5-7H2,(H2,14,20)(H,17,19);FALSE;-1;['29'];['1-(2-(azetidin-3-ylamino)-2-oxoethyl)-1H-pyrrolo[2,3-b]pyridine-5-carboxamide'];
CHEMBL1324108;6-AMINONICOTINAMIDE;;Small molecule;;137.14;78;89;-0.24;82.00;3;2;0;1;N;0.56;None;5.27;-0.63;-0.63;1;MOL;-1;10;4;4;0;137.0589;-0.32;NEUTRAL;C6H7N3O;NC(=O)c1ccc(N)nc1;ZLWYEPMDOUQDBW-UHFFFAOYSA-N;InChI=1S/C6H7N3O/c7-5-2-1-4(3-9-5)6(8)10/h1-3H,(H2,7,9)(H2,8,10);FALSE;-1;"['SID26749303', 'SID83630', '6-AMINONICOTINAMIDE', 'SID93576748', '6-aminonicotinamide', 'SID251919836', '1; 6AN', 'COVC-1214899162', '16', '1']";['SID26749303', 'SID83630', '6-AMINONICOTINAMIDE', 'SID93576748', '6-aminonicotinamide', 'SID251919836', '6-aminonicotinamide', 'AMINONICOTINAMIDE', '6-aminonicotinamide', '6-aminonicotinamide'];
CHEMBL5288124;;;;;287.32;1;1;-0.43;93.25;5;2;0;3;N;0.80;None;7.82;-1.12;-1.68;2;MOL;-1;21;7;3;0;287.1382;-1.57;NEUTRAL;C14H17N5O2;NC(=O)c1cnc2c(ccn2CC(=O)N2CCNCC2)c1;AZPGYEKECUHATH-UHFFFAOYSA-N;InChI=1S/C14H17N5O2/c15-13(21)11-7-10-1-4-19(14(10)17-8-11)9-12(20)18-5-2-16-3-6-18/h1,4,7-8,16H,2-3,5-6,9H2,(H2,15,21);FALSE;-1;['32'];['1-(2-oxo-2-(piperazin-1-yl)ethyl)-1H-pyrrolo[2,3-b]pyridine-5-carboxamide'];
CHEMBL5268413;;;;;279.34;1;1;2.25;74.04;3;2;0;4;N;0.77;None;9.31;2.00;0.11;3;MOL;-1;21;4;4;0;279.1372;-1.07;BASE;C17H17N3O;NCc1ccc(Cn2ccc3cc(C(N)=O)ccc32)cc1;GFPWNKIPYDKLPA-UHFFFAOYSA-N;InChI=1S/C17H17N3O/c18-10-12-1-3-13(4-2-12)11-20-8-7-14-9-15(17(19)21)5-6-16(14)20/h1-9H,10-11,18H2,(H2,19,21);FALSE;-1;['26'];['1-(4-(aminomethyl)benzyl)-1H-indole-5-carboxamide'];
CHEMBL1435541;;;Small molecule;;160.18;9;16;1.27;58.88;1;2;0;1;Y;0.65;None;None;0.92;0.92;2;MOL;-1;12;3;3;0;160.0637;-0.82;NEUTRAL;C9H8N2O;NC(=O)c1ccc2[nH]ccc2c1;GQMYQEAXTITUAE-UHFFFAOYSA-N;InChI=1S/C9H8N2O/c10-9(12)7-1-2-8-6(5-7)3-4-11-8/h1-5,11H,(H2,10,12);FALSE;-1;"['SID174007088', 'SD-169', 'SD-169', 'SID90340772', 'SD-169', '2; BR005', 'SD-169', '6']";['SID174007088', 'SD-169', 'SD-169', 'SID90340772', 'SD-169', '1H-indole-5-carboxamide', 'SD-169', '1H-indole-5-carboxamide'];
CHEMBL5271824;;;;;193.23;1;2;0.98;82.00;4;2;0;1;N;0.71;None;4.14;0.82;0.82;2;MOL;-1;13;4;4;0;193.0310;-2.14;NEUTRAL;C8H7N3OS;NC(=O)c1ccc2nc(N)sc2c1;HPRLVAQRFQEQPF-UHFFFAOYSA-N;InChI=1S/C8H7N3OS/c9-7(12)4-1-2-5-6(3-4)13-8(10)11-5/h1-3H,(H2,9,12)(H2,10,11);FALSE;-1;['2'];['2-aminobenzo[d]thiazole-6-carboxamide'];
CHEMBL5283956;;;;;255.32;1;1;2.53;68.01;3;2;0;4;N;0.88;None;4.98;2.10;2.09;2;MOL;-1;19;4;3;0;255.1372;-1.26;NEUTRAL;C15H17N3O;CC(C)(Nc1ccc(C(N)=O)cn1)c1ccccc1;ZCSBQOSMHPPSIB-UHFFFAOYSA-N;InChI=1S/C15H17N3O/c1-15(2,12-6-4-3-5-7-12)18-13-9-8-11(10-17-13)14(16)19/h3-10H,1-2H3,(H2,16,19)(H,17,18);FALSE;-1;['19'];['6-((2-phenylpropan-2-yl)amino)nicotinamide'];
CHEMBL5270264;;;;;327.39;17;18;0.44;93.25;5;2;0;4;N;0.85;None;7.82;-0.50;-1.06;2;MOL;-1;24;7;3;0;327.1695;-1.35;NEUTRAL;C17H21N5O2;NC(=O)c1cnc2c(c1)cc(C1CC1)n2CC(=O)N1CCNCC1;RYDNISPFFBQXAG-UHFFFAOYSA-N;InChI=1S/C17H21N5O2/c18-16(24)13-7-12-8-14(11-1-2-11)22(17(12)20-9-13)10-15(23)21-5-3-19-4-6-21/h7-9,11,19H,1-6,10H2,(H2,18,24);FALSE;-1;['37'];['2-cyclopropyl-1-(2-oxo-2-(piperazin-1-yl)ethyl)-1H-pyrrolo[2,3-b]pyridine-5-carboxamide'];
CHEMBL5291180;;;;;353.47;4;5;1.98;83.28;5;3;0;6;N;0.74;None;8.89;2.00;0.51;2;MOL;-1;26;6;4;0;353.2216;-1.51;BASE;C20H27N5O;CC(C)(CNc1ccc(C(N)=O)cn1)c1cccc(N2CCNCC2)c1;ZMCWXOFYJNAJIR-UHFFFAOYSA-N;InChI=1S/C20H27N5O/c1-20(2,14-24-18-7-6-15(13-23-18)19(21)26)16-4-3-5-17(12-16)25-10-8-22-9-11-25/h3-7,12-13,22H,8-11,14H2,1-2H3,(H2,21,26)(H,23,24);FALSE;-1;['24'];['6-((2-methyl-2-(3-(piperazin-1-yl)phenyl)propyl)amino)nicotinamide'];
CHEMBL5281955;;;;;137.14;1;2;-0.24;82.00;3;2;0;1;N;0.56;None;2.48;-0.84;-0.84;1;MOL;-1;10;4;4;0;137.0589;-0.94;NEUTRAL;C6H7N3O;NC(=O)c1ccc(N)cn1;CSHTYFRLFVBNHB-UHFFFAOYSA-N;InChI=1S/C6H7N3O/c7-4-1-2-5(6(8)10)9-3-4/h1-3H,7H2,(H2,8,10);FALSE;-1;['5'];['5-aminopicolinamide'];
CHEMBL5283911;;;;;241.29;1;1;2.35;68.01;3;2;0;4;N;0.86;None;5.01;1.81;1.81;2;MOL;-1;18;4;3;0;241.1215;-1.46;NEUTRAL;C14H15N3O;C[C@H](Nc1ccc(C(N)=O)cn1)c1ccccc1;RLUNHPSPMZRKOH-JTQLQIEISA-N;InChI=1S/C14H15N3O/c1-10(11-5-3-2-4-6-11)17-13-8-7-12(9-16-13)14(15)18/h2-10H,1H3,(H2,15,18)(H,16,17)/t10-/m0/s1;FALSE;-1;['17'];['(S)-6-((1-phenylethyl)amino)nicotinamide'];
CHEMBL332444;;4-Amino-Benzamide;Small molecule;;136.15;4;10;0.37;69.11;2;2;0;1;N;0.55;None;3.38;-0.01;-0.01;1;MOL;-1;10;3;4;0;136.0637;-0.74;NEUTRAL;C7H8N2O;NC(=O)c1ccc(N)cc1;QIKYZXDTTPVVAC-UHFFFAOYSA-N;InChI=1S/C7H8N2O/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,8H2,(H2,9,10);FALSE;-1;['7', '1', '6', 'SID144211973', '4'];['4-Amino-benzamide', '4-Amino-benzamide', 'p-aminobenzamide', 'SID144211973', '4-aminobenzamide'];
CHEMBL5268916;;;;;256.31;1;1;1.25;94.03;4;3;0;5;N;0.75;None;9.26;0.52;-1.32;2;MOL;-1;19;5;5;0;256.1324;-1.30;BASE;C14H16N4O;NCc1cccc(CNc2ccc(C(N)=O)cn2)c1;WXURPGONLMDDHC-UHFFFAOYSA-N;InChI=1S/C14H16N4O/c15-7-10-2-1-3-11(6-10)8-17-13-5-4-12(9-18-13)14(16)19/h1-6,9H,7-8,15H2,(H2,16,19)(H,17,18);FALSE;-1;['13'];['6-((3-(aminomethyl)benzyl)amino)nicotinamide'];
CHEMBL5269867;;;;;369.47;4;5;1.47;93.25;5;2;0;5;N;0.83;None;8.18;0.81;-0.04;2;MOL;-1;27;7;3;0;369.2165;-0.97;NEUTRAL;C20H27N5O2;CC(C)[C@H]1CN(C(=O)Cn2c(C3CC3)cc3cc(C(N)=O)cnc32)CCN1;VUPZMHFOYKBVDI-MRXNPFEDSA-N;InChI=1S/C20H27N5O2/c1-12(2)16-10-24(6-5-22-16)18(26)11-25-17(13-3-4-13)8-14-7-15(19(21)27)9-23-20(14)25/h7-9,12-13,16,22H,3-6,10-11H2,1-2H3,(H2,21,27)/t16-/m1/s1;FALSE;-1;['39'];['(S)-2-cyclopropyl-1-(2-(3-isopropylpiperazin-1-yl)-2-oxoethyl)-1H-pyrrolo[2,3-b]pyridine-5-carboxamide'];
CHEMBL5270195;;;;;381.48;4;5;1.75;93.25;5;2;0;5;N;0.83;None;11.02;0.21;-2.88;2;MOL;-1;28;7;3;0;381.2165;-0.81;BASE;C21H27N5O2;CN(C(=O)Cn1c(C2CC2)cc2cc(C(N)=O)cnc21)[C@@H]1C[C@H]2CC[C@@H](C1)N2;DEVLSLOCLAEZQX-BJWYYQGGSA-N;InChI=1S/C21H27N5O2/c1-25(17-8-15-4-5-16(9-17)24-15)19(27)11-26-18(12-2-3-12)7-13-6-14(20(22)28)10-23-21(13)26/h6-7,10,12,15-17,24H,2-5,8-9,11H2,1H3,(H2,22,28)/t15-,16+,17-;FALSE;-1;['36'];['1-(2-(((1R,3R,5S)-8-azabicyclo[3.2.1]octan-3-yl)(methyl)amino)-2-oxoethyl)-2-cyclopropyl-1H-pyrrolo[2,3-b]pyridine-5-carboxamide'];
CHEMBL5271522;;;;;241.29;1;1;2.35;68.01;3;2;0;4;N;0.86;None;5.01;1.81;1.81;2;MOL;-1;18;4;3;0;241.1215;-1.46;NEUTRAL;C14H15N3O;C[C@@H](Nc1ccc(C(N)=O)cn1)c1ccccc1;RLUNHPSPMZRKOH-SNVBAGLBSA-N;InChI=1S/C14H15N3O/c1-10(11-5-3-2-4-6-11)17-13-8-7-12(9-16-13)14(15)18/h2-10H,1H3,(H2,15,18)(H,16,17)/t10-/m1/s1;FALSE;-1;['18'];['(R)-6-((1-phenylethyl)amino)nicotinamide'];
CHEMBL5267738;;;;;379.39;1;1;2.13;83.28;5;3;0;5;N;0.74;None;5.07;1.98;1.98;2;MOL;-1;27;6;4;0;379.1620;-1.46;NEUTRAL;C18H20F3N5O;NC(=O)c1ccc(NCc2cccc(N3CCNC(C(F)(F)F)C3)c2)nc1;YWYXAMUEUIQTTJ-UHFFFAOYSA-N;InChI=1S/C18H20F3N5O/c19-18(20,21)15-11-26(7-6-23-15)14-3-1-2-12(8-14)9-24-16-5-4-13(10-25-16)17(22)27/h1-5,8,10,15,23H,6-7,9,11H2,(H2,22,27)(H,24,25);FALSE;-1;['16'];['6-((3-(3-(trifluoromethyl)piperazin-1-yl)benzyl)amino)nicotinamide'];
CHEMBL5268458;;;;;207.28;1;1;1.64;68.01;3;2;0;3;N;0.79;None;5.08;1.30;1.29;1;MOL;-1;15;4;3;0;207.1372;-1.44;NEUTRAL;C11H17N3O;CC(C)(C)CNc1ccc(C(N)=O)cn1;ZFVSXVHRDHYPEG-UHFFFAOYSA-N;InChI=1S/C11H17N3O/c1-11(2,3)7-14-9-5-4-8(6-13-9)10(12)15/h4-6H,7H2,1-3H3,(H2,12,15)(H,13,14);FALSE;-1;['11'];['6-(neopentylamino)nicotinamide'];
CHEMBL5281871;;;;;280.33;1;1;1.64;86.93;4;2;0;4;N;0.76;None;9.31;1.15;-0.74;3;MOL;-1;21;5;4;0;280.1324;-1.10;BASE;C16H16N4O;NCc1ccc(Cn2ccc3cc(C(N)=O)cnc32)cc1;MIOHMKDSCXKJEP-UHFFFAOYSA-N;InChI=1S/C16H16N4O/c17-8-11-1-3-12(4-2-11)10-20-6-5-13-7-14(15(18)21)9-19-16(13)20/h1-7,9H,8,10,17H2,(H2,18,21);FALSE;-1;['27'];['1-(4-(aminomethyl)benzyl)-1H-pyrrolo[2,3-b]pyridine-5-carboxamide'];
CHEMBL5277663;;;;;341.37;4;5;-0.03;110.32;5;2;0;4;N;0.81;13.83;2.53;-1.24;-1.24;2;MOL;-1;25;8;3;0;341.1488;-1.48;NEUTRAL;C17H19N5O3;NC(=O)c1cnc2c(c1)cc(C1CC1)n2CC(=O)N1CCNC(=O)C1;GYIWVLUZNJTPHE-UHFFFAOYSA-N;InChI=1S/C17H19N5O3/c18-16(25)12-5-11-6-13(10-1-2-10)22(17(11)20-7-12)9-15(24)21-4-3-19-14(23)8-21/h5-7,10H,1-4,8-9H2,(H2,18,25)(H,19,23);FALSE;-1;['40'];['2-cyclopropyl-1-(2-oxo-2-(3-oxopiperazin-1-yl)ethyl)-1H-pyrrolo[2,3-b]pyridine-5-carboxamide'];
CHEMBL5268562;;;;;337.43;4;5;1.69;83.28;5;3;0;5;N;0.77;None;8.88;1.36;-0.13;2;MOL;-1;25;6;4;0;337.1903;-1.18;BASE;C19H23N5O;NC(=O)c1ccc(NC2(c3cccc(N4CCNCC4)c3)CC2)nc1;QWAKAIXHRUUFTN-UHFFFAOYSA-N;InChI=1S/C19H23N5O/c20-18(25)14-4-5-17(22-13-14)23-19(6-7-19)15-2-1-3-16(12-15)24-10-8-21-9-11-24/h1-5,12-13,21H,6-11H2,(H2,20,25)(H,22,23);FALSE;-1;['21'];['6-((1-(3-(piperazin-1-yl)phenyl)cyclopropyl)amino)nicotinamide'];
CHEMBL5279532;;;;;253.31;1;1;2.28;68.01;3;2;0;4;N;0.88;None;4.97;1.79;1.79;2;MOL;-1;19;4;3;0;253.1215;-1.00;NEUTRAL;C15H15N3O;NC(=O)c1ccc(NC2(c3ccccc3)CC2)nc1;NGEALBNRNBBBMR-UHFFFAOYSA-N;InChI=1S/C15H15N3O/c16-14(19)11-6-7-13(17-10-11)18-15(8-9-15)12-4-2-1-3-5-12/h1-7,10H,8-9H2,(H2,16,19)(H,17,18);FALSE;-1;['20'];['6-((1-phenylcyclopropyl)amino)nicotinamide'];
CHEMBL5274574;;;;;315.38;1;1;0.35;93.25;5;2;0;4;N;0.85;None;10.03;-0.94;-3.48;2;MOL;-1;23;7;3;0;315.1695;-1.45;BASE;C16H21N5O2;CN(C(=O)Cn1ccc2cc(C(N)=O)cnc21)C1CCNCC1;YUSVGPVICZUTKJ-UHFFFAOYSA-N;InChI=1S/C16H21N5O2/c1-20(13-2-5-18-6-3-13)14(22)10-21-7-4-11-8-12(15(17)23)9-19-16(11)21/h4,7-9,13,18H,2-3,5-6,10H2,1H3,(H2,17,23);FALSE;-1;['31'];['1-(2-(methyl(piperidin-4-yl)amino)-2-oxoethyl)-1H-pyrrolo[2,3-b]pyridine-5-carboxamide'];
